FIRE_NUMBER,FIRE_YEAR,FIRE_CAUSE,FIRE_DATE
N70278,2006,Lightning,2006-07-24
N70285,2006,Lightning,2006-07-25
N70290,2006,Lightning,2006-07-24
N70290,2006,Lightning,2006-07-24
G70056,2007,Person,2007-05-27
G70198,2007,Person,2007-07-13
G80010,2007,Person,2007-05-01
G80028,2007,Person,2007-05-13
G80030,2007,Person,2007-05-14
G80050,2007,Person,2007-05-24
G80066,2007,Person,2007-05-31
G80068,2007,Person,2007-06-02
G80071,2007,Person,2007-05-29
N50130,2007,Lightning,2007-07-13
N50196,2007,Lightning,2007-07-13
N50229,2007,Lightning,2007-07-17
N50242,2007,Lightning,2007-07-16
N50349,2007,Lightning,2007-07-19
N50372,2007,Lightning,2007-07-23
N50372,2007,Lightning,2007-07-23
C50010,2008,Person,2008-04-13
C50018,2008,Person,2008-04-16
C50019,2008,Person,2008-04-16
C50023,2008,Person,2008-04-22
C50037,2008,Person,2008-05-15
C50040,2008,Person,2008-05-17
N70295,2006,Lightning,2006-07-24
N70352,2006,Lightning,2006-07-26
N70358,2006,Lightning,2006-07-26
N70431,2006,Lightning,2006-08-03
G80085,2007,Person,2007-05-25
G90005,2007,Person,2007-04-28
G90007,2007,Person,2007-04-28
G90063,2007,Person,2007-05-30
G90072,2007,Person,2007-06-02
G90087,2007,Person,2007-06-08
G90091,2007,Lightning,2007-06-11
G90093,2007,Lightning,2007-06-13
G90094,2007,Lightning,2007-06-13
G90103,2007,Lightning,2007-06-13
G90104,2007,Lightning,2007-06-16
N50497,2007,Person,2007-08-07
N50523,2007,Lightning,2007-08-10
N50523,2007,Lightning,2007-08-10
N50523,2007,Lightning,2007-08-10
N50523,2007,Lightning,2007-08-10
C50043,2008,Person,2008-05-18
C50060,2008,Lightning,2008-06-10
C50063,2008,Lightning,2008-06-21
C50065,2008,Person,2008-06-23
C50072,2008,Lightning,2008-06-30
C50073,2008,Lightning,2008-06-30
C50123,2008,Person,2008-07-07
C50216,2008,Person,2008-08-16
C50269,2008,Lightning,2008-08-20
C50294,2008,Person,2008-09-23
G10177,2008,Lightning,2008-07-01
G40067,2008,Person,2008-05-25
G40149,2008,Person,2008-06-27
G40152,2008,Person,2008-06-28
N70431,2006,Lightning,2006-08-03
N70431,2006,Lightning,2006-08-03
N70516,2006,Lightning,2006-08-05
G90112,2007,Lightning,2007-06-22
G90114,2007,Lightning,2007-06-23
G90121,2007,Lightning,2007-06-25
G90176,2007,Lightning,2007-07-12
G90178,2007,Lightning,2007-07-13
G90189,2007,Lightning,2007-07-13
N50523,2007,Lightning,2007-08-10
N50561,2007,Lightning,2007-08-16
N50633,2007,Lightning,2007-08-18
N50678,2007,Lightning,2007-08-31
N60564,2007,Person,2007-08-16
G40160,2008,Person,2008-06-29
G40166,2008,Lightning,2008-06-27
G40195,2008,Lightning,2008-07-02
G40197,2008,Lightning,2008-07-02
G40207,2008,Lightning,2008-07-02
G40212,2008,Lightning,2008-07-03
G40212,2008,Lightning,2008-07-03
G40220,2008,Lightning,2008-07-03
G40220,2008,Lightning,2008-07-03
G40221,2008,Lightning,2008-07-03
G40245,2008,Lightning,2008-07-03
G40261,2008,Lightning,2008-07-18
G40292,2008,Lightning,2008-07-29
G40307,2008,Lightning,2008-08-08
N70761,2006,Lightning,2006-08-30
N70761,2006,Lightning,2006-08-30
R10008,2006,Person,2006-04-15
R10021,2006,Person,2006-04-24
R10027,2006,Person,2006-04-25
R10033,2006,Person,2006-04-29
R10047,2006,Person,2006-05-10
G90268,2007,Lightning,2007-07-14
G90280,2007,Lightning,2007-07-14
K10241,2007,Person,2007-05-25
K10243,2007,Person,2007-05-25
K10522,2007,Person,2007-07-07
N60785,2007,Person,2007-08-15
N70102,2007,Lightning,2007-07-12
N70126,2007,Lightning,2007-07-13
N70139,2007,Lightning,2007-07-14
N70167,2007,Lightning,2007-07-14
G40438,2008,Person,2008-10-24
G50019,2008,Person,2008-04-28
G50162,2008,Person,2008-06-30
G50180,2008,Lightning,2008-07-01
G50194,2008,Lightning,2008-07-02
G50227,2008,Lightning,2008-07-04
G50248,2008,Lightning,2008-07-14
G50302,2008,Lightning,2008-08-08
G50314,2008,Lightning,2008-08-08
G50316,2008,Lightning,2008-08-08
G50353,2008,Lightning,2008-08-08
G50361,2008,Lightning,2008-08-08
R20035,2006,Person,2006-05-04
R30005,2006,Person,2006-04-17
R30006,2006,Person,2006-04-14
R30009,2006,Person,2006-04-16
R30030,2006,Person,2006-04-18
C10053,2007,Person,2007-05-30
C10058,2007,Person,2007-06-02
C10060,2007,Lightning,2007-06-03
C10067,2007,Person,2007-06-29
C10114,2007,Lightning,2007-07-13
C10129,2007,Lightning,2007-07-14
C10150,2007,Lightning,2007-07-13
C10155,2007,Lightning,2007-07-15
K10636,2007,Lightning,2007-07-13
K10658,2007,Lightning,2007-07-14
K10660,2007,Lightning,2007-07-14
K10662,2007,Lightning,2007-07-14
K10663,2007,Lightning,2007-07-14
K10727,2007,Lightning,2007-07-14
K10914,2007,Lightning,2007-07-18
N70171,2007,Lightning,2007-07-15
N70283,2007,Lightning,2007-07-18
N70347,2007,Lightning,2007-07-18
N70347,2007,Lightning,2007-07-18
N70347,2007,Lightning,2007-07-18
G60308,2008,Lightning,2008-08-08
G60324,2008,Lightning,2008-08-08
G60327,2008,Lightning,2008-08-08
G70001,2008,Person,2008-04-12
G70013,2008,Person,2008-04-26
G70018,2008,Person,2008-04-29
G70021,2008,Person,2008-05-03
G70024,2008,Person,2008-05-04
G70037,2008,Person,2008-05-13
G70043,2008,Person,2008-04-01
C10265,2007,Lightning,2007-07-19
C10319,2007,Lightning,2007-08-05
C10359,2007,Lightning,2007-08-16
C10364,2007,Lightning,2007-08-17
C10368,2007,Lightning,2007-08-24
C10385,2007,Lightning,2007-08-16
C20005,2007,Person,2007-04-08
C20007,2007,Person,2007-04-07
C20038,2007,Person,2007-05-14
C20046,2007,Person,2007-05-23
K10942,2007,Lightning,2007-08-03
K20072,2007,Person,2007-04-10
K20173,2007,Person,2007-05-16
K20180,2007,Person,2007-05-18
K20298,2007,Person,2007-06-03
K20493,2007,Person,2007-07-04
K20614,2007,Person,2007-07-13
R50068,2004,Lightning,2004-06-20
R50071,2004,Lightning,2004-06-20
R50121,2004,Lightning,2004-06-23
R90044,2004,Person,2004-06-18
R90045,2004,Lightning,2004-06-20
R90083,2004,Lightning,2004-06-21
R90086,2004,Lightning,2004-06-21
R90087,2004,Lightning,2004-06-21
R90097,2004,Lightning,2004-06-20
R90101,2004,Lightning,2004-06-24
R90106,2004,Lightning,2004-06-22
R90134,2004,Lightning,2004-06-22
R90182,2004,Lightning,2004-06-27
R90183,2004,Lightning,2004-06-27
R90184,2004,Lightning,2004-06-27
R90189,2004,Lightning,2004-06-27
R90198,2004,Lightning,2004-07-01
R90214,2004,Lightning,2004-07-16
R90236,2004,Lightning,2004-08-14
V10531,2004,Lightning,2004-08-14
V10543,2004,Lightning,2004-08-14
G70001,2006,Person,2006-04-03
G70008,2006,Person,2006-04-09
G70018,2006,Person,2006-04-15
G70026,2006,Person,2006-05-29
G70042,2006,Person,2006-05-18
G70047,2006,Person,2006-04-24
N20459,2006,Person,2006-08-02
N40023,2006,Person,2006-05-31
N40023,2006,Person,2006-05-31
N40023,2006,Person,2006-05-16
N40053,2006,Lightning,2006-06-27
N40192,2006,Lightning,2006-08-04
N70475,2003,Lightning,2003-08-07
N70490,2003,Lightning,2003-08-03
VA0194,2004,Lightning,2004-06-22
VA0194,2004,Lightning,2004-06-22
VA0194,2004,Lightning,2004-06-22
C10054,2005,Lightning,2005-05-29
C40058,2005,Lightning,2005-05-29
G30192,2005,Lightning,2005-05-30
G30192,2005,Lightning,2005-05-30
G40100,2005,Lightning,2005-05-28
G40110,2005,Lightning,2005-05-29
G70047,2006,Person,2006-04-24
G70048,2006,Person,2006-05-30
G70057,2006,Person,2006-05-18
G70061,2006,Person,2006-04-25
G70069,2006,Person,2006-05-30
G70071,2006,Person,2006-04-28
G70071,2006,Person,2006-04-28
K30494,2003,Lightning,2003-08-09
K30551,2003,Lightning,2003-08-20
N70502,2003,Lightning,2003-08-07
N70556,2003,Lightning,2003-08-09
N70562,2003,Lightning,2003-08-09
N70578,2003,Lightning,2003-08-09
N70700,2003,Lightning,2003-08-14
N70707,2003,Lightning,2003-08-15
G40110,2005,Lightning,2005-05-29
G90129,2005,Lightning,2005-05-29
G90143,2005,Lightning,2005-05-29
G90144,2005,Lightning,2005-05-29
G90147,2005,Lightning,2005-05-29
G70073,2006,Person,2006-05-18
G70086,2006,Person,2006-05-18
G70095,2006,Person,2006-05-18
G70097,2006,Person,2006-05-04
G70104,2006,Person,2006-05-03
G70110,2006,Person,2006-05-18
G70113,2006,Person,2006-05-04
G70128,2006,Person,2006-06-08
K30555,2003,Person,2003-08-10
K30592,2003,Lightning,2003-08-12
K30605,2003,Lightning,2003-08-13
N70708,2003,Lightning,2003-08-15
N70820,2003,Lightning,2003-08-27
N70820,2003,Lightning,2003-08-27
N70923,2003,Lightning,2003-09-07
V10499,2003,Person,2003-08-21
V10499,2003,Person,2003-08-21
C10175,2004,Lightning,2004-06-23
C10176,2004,Lightning,2004-06-23
G90148,2005,Lightning,2005-05-29
G90151,2005,Lightning,2005-05-29
G90159,2005,Lightning,2005-05-30
G90166,2005,Lightning,2005-05-30
G90167,2005,Lightning,2005-05-30
G90189,2005,Lightning,2005-05-30
G90189,2005,Lightning,2005-05-30
G90195,2005,Lightning,2005-05-31
G90206,2005,Lightning,2005-05-31
G90218,2005,Lightning,2005-06-06
K10045,2005,Person,2005-05-22
K10069,2005,Lightning,2005-05-30
G70139,2006,Person,2006-05-18
G70182,2006,Person,2006-05-17
G70182,2006,Person,2006-05-17
G70182,2006,Person,2006-05-17
K30607,2003,Lightning,2003-08-13
K40300,2003,Person,2003-08-01
K40358,2003,Lightning,2003-08-06
K40358,2003,Lightning,2003-08-06
C50114,2004,Lightning,2004-06-20
C50125,2004,Lightning,2004-06-21
C50149,2004,Lightning,2004-06-22
C50265,2004,Lightning,2004-06-27
K60003,2005,Person,2005-04-06
K60004,2005,Person,2005-04-09
K70135,2005,Person,2005-08-01
R10011,2005,Person,2005-04-24
R10028,2005,Person,2005-04-28
R10034,2005,Person,2005-05-01
R30003,2005,Person,2005-04-21
R40006,2005,Person,2005-04-21
R40007,2005,Person,2005-04-21
R40008,2005,Person,2005-04-23
R40012,2005,Person,2005-04-24
R40013,2005,Person,2005-04-24
G70191,2006,Person,2006-05-19
G70198,2006,Person,2006-05-22
G70206,2006,Person,2006-06-03
G70212,2006,Person,2006-06-04
G70212,2006,Person,2006-06-04
G70224,2006,Person,2006-06-11
G70259,2006,Lightning,2006-06-22
G70278,2006,Person,2006-06-27
G70278,2006,Person,2006-06-26
K40390,2003,Lightning,2003-08-06
K40469,2003,Lightning,2003-08-08
K40469,2003,Lightning,2003-08-08
K40566,2003,Lightning,2003-08-11
K40566,2003,Lightning,2003-08-11
K40695,2003,Lightning,2003-09-03
C50508,2004,Lightning,2004-08-16
G30401,2004,Lightning,2004-07-25
G30485,2004,Lightning,2004-08-12
G40152,2004,Lightning,2004-06-20
