longitude,latitude,FIRE_DATE,FIRE_CAUSE,FIRE_SIZE_HECTARES,FIRE_YEAR
-123.07793668326396,51.924687990912545,2014-04-20,Person,1.0,2014
-123.17856417136998,52.019683886258136,2014-04-23,Person,1.1,2014
-123.27694093753671,52.09120633150196,2014-04-29,Person,35.2,2014
-125.28270564162064,52.456788687972406,2014-05-01,Person,46.0,2014
-123.06857492969705,51.88001658088578,2014-05-02,Person,8.9,2014
-123.12459323439327,51.919655549829926,2014-05-08,Person,1.3,2014
-123.97048599661952,52.14085194608048,2014-05-16,Person,1.7,2014
-123.26601439405648,52.13366803348009,2014-07-16,Person,5.7,2014
-124.4177421333123,52.695302380182724,2014-08-02,Lightning,7.5,2014
-124.37244217423152,51.75939648674367,2014-08-03,Lightning,0.5,2014
-124.52631315917037,52.16235290383591,2014-08-02,Lightning,1.2,2014
-124.77993504189118,51.95928039269101,2014-08-03,Lightning,18.6,2014
-123.609693835965,52.111265445318566,2014-08-11,Person,947.8,2014
-124.57156818141118,52.231312637682,2014-08-02,Lightning,44.6,2014
-124.26223151018505,52.71445892247711,2014-08-15,Lightning,471.1,2014
-125.6343942680536,52.88037718741086,2014-08-16,Person,4.9,2014
-123.55312942989258,52.06596459132926,2014-09-08,Person,1.5,2014
-123.18586445498428,52.029368869582434,2014-09-14,Person,1.1,2014
-123.18668431638913,52.03242037082565,2014-09-21,Person,1.6,2014
-124.06422314161425,51.43256649560756,2014-10-06,Person,12.1,2014
-120.24052405363489,52.619941226565196,2013-08-11,Lightning,71.7,2013
-123.13195661365445,52.000946392363595,2014-10-17,Person,8.7,2014
-123.15204227636508,51.99415681757026,2014-10-13,Person,1.0,2014
-123.16868192591896,52.011463890086205,2014-10-18,Person,6.4,2014
-123.17638115711549,52.02300057802619,2015-03-29,Person,3.4,2014
-121.04899700400752,52.96709904171703,2014-07-02,Lightning,9.9,2014
-120.91453978783106,53.16861074531034,2014-07-03,Lightning,28.9,2014
-123.7073422983961,52.83132983552744,2014-07-23,Lightning,6.7,2014
-122.96802112731521,52.71994511361726,2014-08-04,Lightning,31.0,2014
-121.75206337489902,51.920842530773974,2013-07-09,Person,0.2,2013
-122.57221882426683,51.60948084218328,2013-08-02,Lightning,1.8,2013
-122.36432809097725,52.09424235568698,2013-08-04,Lightning,11.1,2013
-122.8644311702538,51.72510647919473,2013-08-10,Lightning,1.1,2013
-122.58286422004679,51.766302406864526,2013-08-11,Lightning,9.0,2013
-122.28987341240162,52.41875368241663,2013-08-14,Person,1.3,2013
-123.20362169314086,51.69585578946999,2013-09-03,Lightning,2.4,2013
-121.85151259524933,52.04525693036434,2013-09-02,Lightning,6.0,2013
-121.22033531495725,52.59216628050717,2013-07-01,Lightning,0.3,2013
-120.79594926653728,52.166348070119824,2013-08-02,Lightning,2.0,2013
-122.03302821694186,52.647852403067496,2013-08-02,Lightning,0.5,2013
-120.4450398900431,52.805810822723004,2013-08-03,Lightning,43.7,2013
-121.14756435046196,52.37170430506851,2013-08-01,Lightning,4.2,2013
-120.26094616558775,52.6238876723418,2013-08-11,Lightning,3.1,2013
-121.99804496921362,51.424747683740904,2013-04-27,Person,13.3,2013
-121.73925531859999,51.90975948233376,2013-07-09,Person,0.0,2013
-121.69222459684092,51.89248564352384,2013-07-09,Person,0.1,2013
-122.16483371709688,51.41496768165156,2013-08-03,Lightning,2.2,2013
-121.05389542211503,51.184539360621585,2013-08-03,Lightning,5.6,2013
-121.35009291138105,51.24360025370888,2013-08-03,Lightning,12.8,2013
-121.48893762167674,51.434223448977114,2013-08-10,Lightning,1.0,2013
-121.93570613645845,51.54844458284734,2013-08-10,Lightning,2.0,2013
-121.96556433623599,51.60680868802478,2013-08-12,Lightning,6.3,2013
-121.16481088721383,51.507229319131504,2013-09-13,Person,0.4,2013
-123.97235740513564,52.13345718496834,2013-04-03,Person,32.2,2013
-123.2264412507175,52.11358132009411,2013-04-15,Person,9.3,2013
-123.13647828322323,51.95231620930867,2013-04-17,Person,1.5,2013
-124.07469543922657,51.41456459648413,2013-04-23,Person,4.4,2013
-123.15734416176005,52.001443408360856,2013-04-26,Person,6.5,2013
-123.15054443270175,51.99792547698935,2013-04-26,Person,4.0,2013
-125.30382843216836,52.30574917200214,2013-05-01,Person,2.3,2013
-124.2002451460512,51.72539240154027,2013-05-03,Person,156.9,2013
-125.28286459340153,52.45793516795451,2013-05-08,Person,1.3,2013
-123.1438109675158,52.00349718392213,2013-05-11,Person,1.1,2013
-123.54687124609455,51.67439507277506,2013-07-01,Person,3.6,2013
-125.48306146459178,52.488700275140395,2013-08-01,Lightning,2.3,2013
-125.18626249901186,51.93294828073657,2013-08-03,Lightning,1.3,2013
-125.07931176756644,52.70976723918746,2013-07-31,Lightning,1208.0,2013
-125.07931176756644,52.70976723918746,2013-07-31,Lightning,1208.0,2013
-123.0337009108833,51.962340795549856,2013-08-11,Lightning,1.0,2013
-123.09649944282441,51.947716516791814,2013-08-11,Lightning,1.6,2013
-124.1326948468626,51.3006113888121,2013-08-12,Lightning,122.0,2013
-125.21459857286494,51.9500213693231,2013-08-12,Lightning,1.4,2013
-125.39599440770404,52.43555983851409,2013-10-24,Person,4.9,2013
-123.62277370017212,52.996809251042556,2013-04-23,Person,15.5,2013
-122.47631623513178,52.81942462484578,2013-05-04,Person,0.9,2013
-122.4638307008945,52.82135097180716,2013-05-04,Person,0.1,2013
-121.56536172051185,52.87197526702565,2013-06-21,Lightning,3.8,2013
-123.94538805105576,53.037881594094735,2013-07-22,Person,3.1,2013
-122.32048121655713,52.57296571059986,2013-07-31,Person,1.3,2013
-122.2659820827332,52.58945138769889,2013-08-01,Lightning,0.7,2013
-123.89943193986281,53.38791269560753,2013-08-01,Lightning,3.2,2013
-121.82761751529738,53.16544912153612,2013-08-02,Lightning,5.1,2013
-120.86771915054986,53.13091778504533,2013-08-03,Lightning,49.4,2013
-123.1602879064636,53.04495918128625,2013-08-10,Lightning,3.6,2013
-121.22450815430508,52.90691789805123,2013-08-12,Lightning,2.6,2013
-122.57371483503721,52.504693850245516,2013-08-12,Lightning,0.0,2013
-121.69585670657303,53.08109347712673,2013-08-12,Lightning,16.8,2013
-121.18623243108729,53.2724596480395,2013-08-12,Lightning,3.1,2013
-123.40841521129886,53.23890937417765,2013-08-11,Lightning,0.4,2013
-123.4084151975122,53.23890937078963,2013-08-11,Lightning,0.4,2013
-122.95179862408628,52.777154759895204,2013-08-18,Lightning,2.3,2013
-123.79002635157521,53.40234886933854,2013-09-07,Lightning,1.0,2013
-121.7344236128576,52.89354466864613,2013-10-18,Person,3.2,2013
-122.54107119891103,51.91945419400739,2013-04-22,Person,209.2,2013
-122.00195847731098,52.096574584351266,2013-04-20,Person,36.9,2013
-122.63194660243141,51.9836653846172,2013-04-22,Person,1.7,2013
-122.468581790558,51.9986059862841,2013-04-25,Person,698.1,2013
-122.291263384185,51.65738854808004,2013-04-27,Person,3.4,2013
-122.6124630797745,51.98113197384712,2013-04-28,Person,3.5,2013
-122.60043807883541,51.84086758853998,2016-08-02,Lightning,8.5,2016
-121.99737004273793,52.11022371745669,2017-03-26,Person,5.3,2016
-121.23706987864136,51.21787670878232,2016-04-11,Person,35.7,2016
-122.50698986621525,52.642268774240534,2016-03-31,Person,1.0,2016
-122.48278687703304,52.559704283343905,2016-04-02,Person,11.4,2016
-123.56711734297551,52.979554190241174,2016-02-21,Person,395.1,2016
-123.80805057508665,53.31922103450348,2016-05-05,Person,0.3,2016
-125.28649857103777,52.458111987407406,2016-04-07,Person,18.2,2016
-123.10072027087337,51.91413720497385,2016-04-08,Person,1.0,2016
-123.80290065618657,51.48155223350917,2016-04-08,Person,5.5,2016
-123.7142547995508,52.248134771746535,2016-04-08,Person,11.8,2016
-123.92389128816791,52.14631032264648,2016-04-09,Person,2.5,2016
-125.40283638357477,52.46503909903155,2016-04-10,Person,21.6,2016
-120.73356074602316,53.04775967346899,2016-06-02,Lightning,18.7,2016
-123.0208245563065,51.59551917549471,2016-04-05,Person,17.1,2016
-121.81205624648445,52.02128083985651,2016-04-09,Person,4.6,2016
-122.7502247056051,51.190898095331775,2016-04-18,Person,1.3,2016
-122.31027745329881,51.91416280020165,2016-07-27,Person,11.9,2016
-125.4259428013404,52.45564736082131,2016-04-10,Person,3.6,2016
-123.3158648624148,51.78319008278001,2016-02-01,Person,1.7,2016
-125.33353267597664,52.47050846674974,2016-04-20,Person,6.7,2016
-123.965500459675,52.268482538233805,2016-05-16,Lightning,199.1,2016
-124.9803859430561,52.021624197372184,2015-04-27,Person,1.2,2015
-124.06327758693737,52.138323013571764,2015-04-29,Person,2.4,2015
-123.43507475496375,52.1121747189563,2015-05-03,Person,1.0,2015
-123.4395008267705,52.113882715536064,2015-05-03,Person,22.6,2015
-123.16185924593412,52.011385898604026,2015-05-07,Person,4.7,2015
-125.48921743230521,52.583849379567305,2015-05-15,Lightning,2.9,2015
-124.3261593726894,52.33069128600531,2015-05-16,Person,11.1,2015
-124.08036786222972,52.29676385214549,2015-05-18,Lightning,1.4,2015
-123.7212399707718,52.10019419324867,2015-06-30,Lightning,3.0,2015
-123.35933216911604,52.16611226657989,2015-06-29,Lightning,2.4,2015
-124.01646943208507,52.233361722881725,2015-07-08,Person,8078.2,2015
-124.44640631016088,51.94112394214545,2015-08-05,Lightning,1.8,2015
-123.97213653882514,51.756663446201614,2015-08-15,Lightning,1.1,2015
